ticker,yf,cap_type,mkt_cap_bn,score_large,score_mid,score_unified,roe,margin,pe_fwd,debt_eq,revg,epsg,ret_total_pct,ret_annual_pct,vol_pct,max_dd_pct,sharpe,bucket
ADYEN,ADYEN.AS,large,33.9,87,87,87,21.3,43.6,23.0,0.69,18.9,12.9,201.0,20.2,47.4,-77.2,0.38,>75
THERMADOR,THEP.PA,small,0.7,72,89,86,12.0,9.0,13.5,1.28,11.3,17.8,93.2,11.6,29.7,-38.7,0.32,>75
ASML,ASML.AS,large,579.0,83,87,84,53.9,30.1,29.2,0.91,21.3,28.5,419.2,31.6,36.3,-47.9,0.82,>75
GTT,GTT.PA,large,7.6,82,69,79,79.6,55.4,17.0,1.66,-0.4,16.6,150.8,16.6,31.3,-51.6,0.47,>75
TRIGANO,TRI.PA,mid,2.9,63,84,75,12.3,6.8,9.5,0.9,6.2,14.8,82.2,10.5,40.8,-59.7,0.21,65-75
RMS,RMS.PA,large,165.1,80,58,74,25.5,28.0,30.9,1.2,1.6,-0.3,404.1,31.0,26.8,-41.7,1.08,65-75
MANITOU,MTU.PA,small,0.8,36,77,69,9.0,3.2,6.9,3.2,12.0,57.6,-3.8,-0.6,38.2,-57.6,-0.07,65-75
BOIRON,BOI.PA,small,0.4,70,65,66,8.5,6.5,12.2,0.8,-1.4,165.9,-18.2,-3.3,32.8,-50.9,-0.16,65-75
VIRBAC,VIRP.PA,mid,2.7,58,68,64,13.9,10.3,14.7,2.57,4.6,35.2,173.3,18.2,38.6,-50.3,0.42,55-65
INTERP,ITP.PA,mid,2.4,68,59,63,17.8,14.1,19.1,2.08,-1.2,-2.5,131.3,15.0,32.8,-39.5,0.4,55-65
NOVO,NOVO-B.CO,large,1350.7,64,59,63,59.8,35.3,14.0,6.33,2.1,-20.6,355.0,28.7,29.1,-42.5,0.92,55-65
DSY,DSY.PA,large,29.4,62,64,62,15.1,21.3,16.0,3.62,2.2,31.8,64.7,8.7,29.0,-43.3,0.23,55-65
PLXEE,PLX.PA,mid,2.2,56,67,62,50.7,15.7,10.5,26.39,3.2,11.0,-37.8,-7.6,41.4,-49.7,-0.23,55-65
SAF,SAF.PA,large,143.8,57,77,62,27.5,11.6,26.5,3.37,16.0,-65.1,112.4,13.4,37.4,-64.6,0.3,55-65
COHERIS,COH.PA,small,0.1,60,63,62,13.9,18.7,43.5,1.72,10.7,-50.7,475.4,33.9,41.8,-41.7,0.76,55-65
DASSYS,DSY.PA,large,29.4,62,64,62,15.1,21.3,16.0,3.62,2.2,31.8,64.7,8.7,29.0,-43.3,0.23,55-65
LR,LR.PA,large,35.5,56,70,60,18.2,13.0,20.2,10.26,14.7,8.5,115.6,13.7,24.9,-36.1,0.47,55-65
IPSEN,IPN.PA,large,13.6,49,88,59,11.4,11.9,11.8,2.04,18.7,21.5,7.0,1.1,36.2,-70.6,-0.02,55-65
LNA,LNA.PA,small,0.4,28,66,58,7.7,2.6,10.3,26.57,11.8,35.3,-41.9,-8.7,31.1,-69.2,-0.34,55-65
HO,HO.PA,large,51.9,58,59,58,19.4,6.6,20.3,6.95,6.7,-27.0,52.2,7.3,28.9,-49.8,0.18,55-65
SU,SU.PA,large,166.1,56,60,57,18.6,11.3,24.5,8.41,9.8,29.3,365.3,29.2,27.7,-36.0,0.98,55-65
FIGEAC,FGA.PA,small,0.5,31,62,56,1.1,0.2,14.1,44.36,16.8,192.1,-45.4,-9.6,41.5,-82.3,-0.28,55-65
ORA,ORA.PA,large,42.2,54,57,55,14.2,10.0,13.6,16.15,5.5,0.0,0.7,0.1,18.8,-39.9,-0.1,40-55
PRX,PRX.AS,large,78.8,53,62,55,22.2,119.9,8.6,3.29,0.0,0.0,13.1,2.1,40.8,-63.2,0.0,40-55
TTE,TTE.PA,large,168.8,44,82,54,14.5,9.1,9.1,4.8,27.8,106.0,61.5,8.3,30.1,-56.8,0.21,40-55
EDEN,EDEN.PA,large,6.9,53,53,53,0.0,18.2,12.2,0.0,1.5,-6.3,8.8,1.4,29.1,-53.4,-0.02,40-55
EL,EL.PA,large,73.8,51,58,53,6.7,8.5,19.8,3.84,5.7,12.3,135.0,15.3,25.7,-35.2,0.52,40-55
ALTEN,ATE.PA,mid,2.6,46,56,52,4.8,2.6,8.7,1.3,-1.0,-64.3,13.0,2.1,32.6,-52.4,0.0,40-55
LISI,FII.PA,mid,2.9,44,58,52,8.7,8.9,17.7,4.48,4.4,60.2,5.2,0.9,40.4,-60.5,-0.03,40-55
FREY,FREY.PA,mid,1.1,44,59,52,11.3,44.2,36.2,15.03,45.8,355.9,54.3,7.5,16.4,-23.1,0.33,40-55
PUB,PUB.PA,large,25.8,51,57,52,16.2,9.2,12.0,5.19,3.0,-3.1,163.9,17.6,31.1,-58.7,0.5,40-55
AIR,AIR.PA,large,162.8,48,64,52,23.2,7.7,23.6,5.5,27.7,125.8,94.7,11.7,39.2,-64.7,0.25,40-55
ARGAN,ARG.PA,mid,1.9,44,57,51,11.1,102.8,12.0,8.87,4.8,14.3,65.5,8.8,29.1,-47.1,0.23,40-55
SOP,SOP.PA,mid,3.5,39,61,51,14.6,5.2,9.1,6.51,4.1,5.3,126.6,14.6,35.3,-49.0,0.36,40-55
MC,MC.PA,large,224.8,51,52,51,16.6,13.7,17.9,5.33,-2.9,0.8,172.1,18.2,29.0,-34.9,0.56,40-55
SWORD,SWP.PA,small,0.3,33,55,51,22.2,5.3,10.7,13.42,9.5,-12.2,109.0,13.1,29.3,-42.2,0.38,40-55
OR,OR.PA,large,207.4,49,55,50,19.4,13.9,26.1,4.93,5.8,5.4,83.9,10.7,23.8,-29.9,0.36,40-55
HEIA,HEIA.AS,large,40.4,46,61,50,12.1,7.7,12.7,9.51,4.7,54.1,-2.0,-0.3,22.5,-33.4,-0.1,40-55
SAN,SAN.PA,large,94.0,40,79,50,5.7,8.1,8.7,3.39,14.6,-91.2,55.8,7.7,22.3,-25.3,0.25,40-55
BNP,BNP.PA,large,116.4,41,73,49,10.5,26.5,8.0,0.0,18.8,37.4,107.3,12.9,33.8,-54.5,0.32,40-55
ABIVAX,ABVX.PA,large,8.8,42,71,49,-157.1,0.0,-37.9,0.8,35.2,0.0,-45.7,-9.7,60.7,-83.9,-0.19,40-55
DERICHEBOURG,DBG.PA,mid,1.4,28,67,49,11.9,3.8,8.3,7.26,7.8,15.9,62.6,8.4,40.7,-65.3,0.16,40-55
IPSOS,IPS.PA,mid,1.7,36,58,48,11.9,6.9,7.0,4.18,1.3,-22.0,162.0,17.4,31.5,-49.6,0.49,40-55
DIOR,CDI.PA,large,74.3,49,46,48,17.1,5.7,16.3,5.53,-2.9,0.9,109.2,13.1,30.4,-47.2,0.37,40-55
SPIE,SPIE.PA,large,7.7,44,57,47,15.1,2.8,13.1,17.12,3.5,0.0,202.1,20.2,31.9,-58.8,0.57,40-55
VIE,VIE.PA,large,25.0,44,57,47,13.4,2.8,13.1,25.03,0.7,5.6,95.8,11.9,27.6,-43.7,0.36,40-55
AI,AI.PA,large,107.4,49,36,46,14.0,13.1,23.4,6.33,0.8,0.7,118.4,13.9,20.6,-29.3,0.58,40-55
BVI,BVI.PA,large,12.4,46,45,46,32.9,7.5,17.2,17.85,2.0,-25.0,87.4,11.0,23.5,-37.5,0.38,40-55
